year,id,name,surface,held
2013,D099,Fed Cup G1 PO: ISR vs BLR                                                                           ,Hard,2013-02-09
2012,D081,Fed Cup G2 RRB: IND vs OMA                                                                          ,Hard,2012-01-31
2012,D032,Fed Cup G1 RRC: ISR vs GBR                                                                          ,Hard,2012-02-03
2017,W-FC-2017-WG2-M-SVK-ITA-01,Fed Cup WG2 R1: SVK vs ITA                                                                          ,Clay,2017-02-11
2016,W-FC-2016-G2-AM-A-M-CHI-HON-01,Fed Cup G2 RR: CHI vs HON                                                                           ,Hard,2016-02-03
2015,D042,Fed Cup G3 PO: CYP vs MKD                                                                           ,Clay,2015-04-18
2010,D109,Fed Cup G2 RRB: GUA vs BER                                                                          ,Clay,2010-04-23
2018,W-FC-2018-WG2-M-UKR-AUS-01,Fed Cup WG2 R1: UKR vs AUS                                                                          ,Grass,2018-02-10
2010,D135,Fed Cup G2 PO: BER vs TRI                                                                           ,Clay,2010-04-24
2012,W-INT-POR-01A-2012,Estoril                                                                                             ,Clay,2012-04-30
2017,W-FC-2017-G1-EPA-PPO-CRO-GBR-01,Fed Cup G1 PPO: CRO vs GBR                                                                          ,Hard,2017-02-11
2017,W-FC-2017-G1-AM-B-M-COL-CHI-01,Fed Cup G1 RR: COL vs CHI                                                                           ,Hard,2017-02-10
2010,D027,Fed Cup G1 RRB: UZB vs THA                                                                          ,Hard,2010-02-03
2019,W-FC-2019-G1-EPA-A-B-M-UKR-SWE-01,Fed Cup G1 RR: UKR vs SWE                                                                           ,Hard,2019-02-06
2011,D111,Fed Cup G3 RRB: MDA vs TUN                                                                          ,Clay,2011-05-03
2011,D096,Fed Cup G3 RRA: RSA vs ALG                                                                          ,Clay,2011-05-04
2018,W-FC-2018-G2-AO-D-M-INA-SRI-01,Fed Cup G2 RR: INA vs SRI                                                                           ,Hard,2018-02-08
2016,W-FC-2016-G1-AM-PP3-4-MEX-BRA-01,Fed Cup G1 PM: MEX vs BRA                                                                           ,Clay,2016-02-06
2016,W-FC-2016-G1-AO-PP5-6-IND-KAZ-01,Fed Cup G1 PM: IND vs KAZ                                                                           ,Hard,2016-02-06
2017,W-FC-2017-G1-AM-PPO-CAN-CHI-01,Fed Cup G1 PPO: CAN vs CHI                                                                          ,Hard,2017-02-11
2018,W-FC-2018-G1-EPA-B-M-EST-POR-01,Fed Cup G1 RR: EST vs POR                                                                           ,Hard,2018-02-08
2017,1005,Rabat                                                                                               ,Clay,2017-05-01
2015,W-P700-GBR-02A-2015,Eastbourne                                                                                          ,Grass,2015-06-22
2018,W-FC-2018-G2-AM-B-A-M-ECU-CRC-01,Fed Cup G2 RR: ECU vs CRC                                                                           ,Clay,2018-07-20
2016,W-FC-2016-G1-AM-PPO-PAR-ARG-01,Fed Cup G1 PPO: PAR vs ARG                                                                          ,Clay,2016-02-06
2014,D036,Fed Cup G1 RR: ROU vs LAT                                                                           ,Hard,2014-02-08
2010,W-PR-GER-01A-2010,Stuttgart                                                                                           ,Clay,2010-04-26
2010,D116,Fed Cup G3 RRA: EGY vs TUR                                                                          ,Clay,2010-04-21
2014,D038,Fed Cup G1 RR: UKR vs SLO                                                                           ,Hard,2014-02-06
2011,D110,Fed Cup G3 RRB: IRL vs TUN                                                                          ,Clay,2011-05-06
2012,D098,Fed Cup G1 PO: BIH vs CRO                                                                           ,Hard,2012-02-04
2013,D006,Fed Cup WG SF: RUS vs SVK                                                                           ,Clay,2013-04-20
2010,W-SL-GBR-01A-2010,Wimbledon                                                                                           ,Grass,2010-06-21
2019,W-FC-2019-G1-AO-PP3-4-IND-KOR-01,Fed Cup G1 PM: IND vs KOR                                                                           ,Hard,2019-02-09
2018,W-FC-2018-G1-AO-A-M-KAZ-CHN-01,Fed Cup G1 RR: KAZ vs CHN                                                                           ,Hard,2018-02-09
2014,W-PR-GBR-02A-2014,Eastbourne                                                                                          ,Grass,2014-06-16
2014,W-CHA-BUL-01A-2014,Tournament of Champions                                                                             ,Hard,2014-10-27
2019,1079,Bucharest                                                                                           ,Clay,2019-07-15
